feature,importance
cat__Contract_Month-to-month,0.3753077
num__contract_term,0.18200609
cat__InternetService_Fiber optic,0.046414323
num__has_fiber,0.043144725
cat__OnlineSecurity_No,0.03768473
cat__Contract_Two year,0.020311087
cat__TechSupport_No,0.020236256
num__tenure_years,0.01772767
cat__InternetService_DSL,0.0149834715
num__monthly_x_term,0.014420154
cat__StreamingMovies_Yes,0.012856865
num__is_electronic_check,0.010871184
num__tenure,0.010334437
cat__OnlineBackup_No,0.008718923
cat__Contract_One year,0.00871174
cat__PhoneService_No,0.008636954
cat__PhoneService_Yes,0.008506583
cat__PaperlessBilling_No,0.00837722
num__MonthlyCharges,0.0075940774
cat__gender_Male,0.0067087305
num__charges_per_tenure,0.0066110385
cat__OnlineSecurity_Yes,0.006260874
cat__PaperlessBilling_Yes,0.0062398366
num__auto_pay,0.006228038
cat__MultipleLines_No,0.006085978
num__TotalCharges_num,0.0059475866
cat__StreamingTV_Yes,0.005897076
cat__MultipleLines_Yes,0.0058803326
cat__StreamingTV_No,0.0057858964
num__has_streaming,0.005332557
cat__Partner_No,0.0052834456
num__tenure_x_services,0.0052643605
num__services_count,0.005132456
cat__TechSupport_Yes,0.005045804
cat__gender_Female,0.004974018
num__SeniorCitizen,0.0049626
cat__OnlineBackup_Yes,0.0048384755
cat__PaymentMethod_Electronic check,0.0047524166
cat__StreamingMovies_No,0.0046376386
cat__Dependents_No,0.004102354
cat__Dependents_Yes,0.0040488774
cat__InternetService_No,0.003963676
cat__PaymentMethod_Credit card (automatic),0.0038930797
cat__PaymentMethod_Mailed check,0.0038635207
cat__DeviceProtection_Yes,0.003831216
cat__PaymentMethod_Bank transfer (automatic),0.003803988
cat__DeviceProtection_No,0.0037800253
cat__TotalCharges_2404.15,0.0
cat__TotalCharges_2404.85,0.0
cat__TotalCharges_2406.1,0.0
cat__TotalCharges_2404.1,0.0
cat__TotalCharges_2401.05,0.0
cat__TotalCharges_2405.05,0.0
cat__TotalCharges_2409.9,0.0
cat__TotalCharges_2407.3,0.0
cat__TotalCharges_24.9,0.0
cat__TotalCharges_2413.05,0.0
cat__TotalCharges_2414.55,0.0
cat__TotalCharges_2415.95,0.0
cat__TotalCharges_2416.1,0.0
cat__TotalCharges_2416.55,0.0
cat__TotalCharges_2419,0.0
cat__TotalCharges_2419.55,0.0
cat__TotalCharges_242,0.0
cat__TotalCharges_242.05,0.0
cat__TotalCharges_240.45,0.0
cat__TotalCharges_24.7,0.0
cat__TotalCharges_24.8,0.0
cat__TotalCharges_239.75,0.0
cat__TotalCharges_2383.6,0.0
cat__TotalCharges_2384.15,0.0
cat__TotalCharges_2386.85,0.0
cat__TotalCharges_2387.75,0.0
cat__TotalCharges_239,0.0
cat__TotalCharges_239.05,0.0
cat__TotalCharges_239.45,0.0
